,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
175,581717,843497,Private room,,Praha 2,6,5.0,4.0,1.0,1.0,57.0,1.0,50.069182,14.416929,2016-03-21 16:22:23.829792
176,585739,2624366,Entire home/apt,,Praha 10,4,5.0,4.0,2.0,1.0,64.0,2.0,50.070773,14.445999,2016-03-21 16:39:36.574059
177,585792,2624366,Entire home/apt,,Praha 10,5,5.0,4.0,2.0,1.0,64.0,2.0,50.072071,14.447911,2016-03-21 16:36:19.306288
178,591540,2919599,Entire home/apt,,Praha 1,162,5.0,2.0,1.0,1.0,69.0,1.0,50.086671,14.404111,2016-03-21 14:17:45.747871
179,595157,2940773,Private room,,Praha 6,48,5.0,2.0,1.0,1.0,34.0,1.0,50.098556,14.396407,2016-03-21 15:38:12.976752
180,595310,2941533,Entire home/apt,,Praha 3,62,4.5,4.0,1.0,1.0,39.0,3.0,50.082308,14.452642,2016-03-21 17:08:32.378291
181,597547,253631,Entire home/apt,,Praha 1,101,4.5,,2.0,1.0,24.0,2.0,50.089333,14.431891,2016-03-21 17:31:16.143868
182,603832,1796561,Entire home/apt,,Praha 3,13,4.5,3.0,,1.0,59.0,1.0,50.085882,14.449013,2016-03-21 19:15:44.771972
183,608163,3014385,Entire home/apt,,Praha 2,46,4.5,4.0,1.0,1.0,59.0,1.0,50.065829,14.434723,2016-03-21 15:12:11.804298
184,609445,3032640,Private room,,Praha 7,12,4.5,2.0,1.0,1.0,40.0,4.0,50.10266,14.428817,2016-03-21 19:18:58.975522
